date,cash,stock_value,assets_value,pos_count
2020-06-03 09:31:27,284860.507,-185270.0,99590.50699999998,2
2020-06-03 09:31:30,284860.507,-185190.0,99670.50699999998,2
2020-06-03 09:31:33,284860.507,-185210.0,99650.50699999998,2
2020-06-03 09:31:36,284860.507,-185360.0,99500.50699999998,2
2020-06-03 09:31:39,284860.507,-185200.0,99660.50699999998,2
2020-06-03 09:31:42,284860.507,-185240.0,99620.50699999998,2
2020-06-03 09:31:45,284860.507,-185190.0,99670.50699999998,2
2020-06-03 09:31:48,284860.507,-185480.0,99380.50699999998,2
2020-06-03 09:31:51,284860.507,-185260.0,99600.50699999998,2
2020-06-03 09:31:54,284860.507,-185280.0,99580.50699999998,2
2020-06-03 09:31:57,284860.507,-185410.0,99450.50699999998,2
2020-06-03 09:32:00,284860.507,-185260.0,99600.50699999998,2
2020-06-03 09:32:03,284860.507,-185190.0,99670.50699999998,2
2020-06-03 09:32:06,284860.507,-185170.0,99690.50699999998,2
2020-06-03 09:32:09,284860.507,-185200.0,99660.50699999998,2
2020-06-03 09:32:12,284860.507,-185050.0,99810.50699999998,2
2020-06-03 09:32:15,284860.507,-184990.0,99870.50699999998,2
2020-06-03 09:32:18,284860.507,-184990.0,99870.50699999998,2
2020-06-03 09:32:21,284860.507,-184920.0,99940.50699999998,2
2020-06-03 09:32:24,284860.507,-184790.0,100070.50699999998,2
2020-06-03 09:32:27,284860.507,-184910.0,99950.50699999998,2
2020-06-03 09:32:30,284860.507,-184600.0,100260.50699999998,2
2020-06-03 09:32:33,284860.507,-184500.0,100360.50699999998,2
2020-06-03 09:32:36,284860.507,-184470.0,100390.50699999998,2
2020-06-03 09:32:39,284860.507,-184480.0,100380.50699999998,2
2020-06-03 09:32:42,284860.507,-184460.0,100400.50699999998,2
2020-06-03 09:32:45,284860.507,-184550.0,100310.50699999998,2
2020-06-03 09:32:48,284860.507,-184840.0,100020.50699999998,2
2020-06-03 09:32:51,284860.507,-184570.0,100290.50699999998,2
2020-06-03 09:32:54,284860.507,-184680.0,100180.50699999998,2
2020-06-03 09:32:57,284860.507,-184680.0,100180.50699999998,2
2020-06-03 09:33:00,284860.507,-184670.0,100190.50699999998,2
2020-06-03 09:33:03,284860.507,-184600.0,100260.50699999998,2
2020-06-03 09:33:06,284860.507,-184590.0,100270.50699999998,2
2020-06-03 09:33:09,284860.507,-184580.0,100280.50699999998,2
2020-06-03 09:33:12,284860.507,-184440.0,100420.50699999998,2
2020-06-03 09:33:15,284860.507,-184500.0,100360.50699999998,2
2020-06-03 09:33:18,284860.507,-184490.0,100370.50699999998,2
2020-06-03 09:33:21,284860.507,-184580.0,100280.50699999998,2
2020-06-03 09:33:24,284860.507,-184600.0,100260.50699999998,2
2020-06-03 09:33:27,284860.507,-184610.0,100250.50699999998,2
2020-06-03 09:33:30,284860.507,-184620.0,100240.50699999998,2
2020-06-03 09:33:33,284860.507,-184710.0,100150.50699999998,2
2020-06-03 09:33:36,284860.507,-184840.0,100020.50699999998,2
2020-06-03 09:33:39,284860.507,-184850.0,100010.50699999998,2
2020-06-03 09:33:42,284860.507,-184600.0,100260.50699999998,2
2020-06-03 09:33:45,284860.507,-184590.0,100270.50699999998,2
2020-06-03 09:33:48,284860.507,-184590.0,100270.50699999998,2
2020-06-03 09:33:51,284860.507,-184600.0,100260.50699999998,2
2020-06-03 09:33:54,284860.507,-184590.0,100270.50699999998,2
2020-06-03 09:33:57,284860.507,-184610.0,100250.50699999998,2
2020-06-03 09:34:00,284860.507,-184590.0,100270.50699999998,2
2020-06-03 09:34:03,284860.507,-184500.0,100360.50699999998,2
2020-06-03 09:34:06,284860.507,-184590.0,100270.50699999998,2
2020-06-03 09:34:09,284860.507,-184480.0,100380.50699999998,2
2020-06-03 09:34:12,284860.507,-184470.0,100390.50699999998,2
2020-06-03 09:34:15,284860.507,-184560.0,100300.50699999998,2
2020-06-03 09:34:18,284860.507,-184450.0,100410.50699999998,2
2020-06-03 09:34:21,284860.507,-184310.0,100550.50699999998,2
2020-06-03 09:34:24,284860.507,-184300.0,100560.50699999998,2
2020-06-03 09:34:27,284860.507,-184290.0,100570.50699999998,2
2020-06-03 09:34:30,284860.507,-184310.0,100550.50699999998,2
2020-06-03 09:34:33,284860.507,-184300.0,100560.50699999998,2
2020-06-03 09:34:36,284860.507,-184280.0,100580.50699999998,2
2020-06-03 09:34:39,284860.507,-184290.0,100570.50699999998,2
2020-06-03 09:34:42,284860.507,-184230.0,100630.50699999998,2
2020-06-03 09:34:45,284860.507,-184310.0,100550.50699999998,2
2020-06-03 09:34:48,284860.507,-184320.0,100540.50699999998,2
2020-06-03 09:34:51,284860.507,-184310.0,100550.50699999998,2
2020-06-03 09:34:54,284860.507,-184310.0,100550.50699999998,2
2020-06-03 09:34:57,284860.507,-184280.0,100580.50699999998,2
2020-06-03 09:35:00,284860.507,-184320.0,100540.50699999998,2
2020-06-03 09:35:03,284860.507,-184310.0,100550.50699999998,2
2020-06-03 09:35:06,284860.507,-184300.0,100560.50699999998,2
2020-06-03 09:35:09,284860.507,-184270.0,100590.50699999998,2
2020-06-03 09:35:12,284860.507,-184260.0,100600.50699999998,2
2020-06-03 09:35:15,284860.507,-184250.0,100610.50699999998,2
2020-06-03 09:35:18,284860.507,-184210.0,100650.50699999998,2
2020-06-03 09:35:21,284860.507,-184270.0,100590.50699999998,2
2020-06-03 09:35:24,284860.507,-184240.0,100620.50699999998,2
2020-06-03 09:35:27,284860.507,-184210.0,100650.50699999998,2
2020-06-03 09:35:30,284860.507,-184260.0,100600.50699999998,2
2020-06-03 09:35:33,284860.507,-184250.0,100610.50699999998,2
2020-06-03 09:35:36,284860.507,-184360.0,100500.50699999998,2
2020-06-03 09:35:39,284860.507,-184370.0,100490.50699999998,2
2020-06-03 09:35:42,284860.507,-184370.0,100490.50699999998,2
2020-06-03 09:35:45,284860.507,-184390.0,100470.50699999998,2
2020-06-03 09:35:48,284860.507,-184380.0,100480.50699999998,2
2020-06-03 09:35:51,284860.507,-184350.0,100510.50699999998,2
2020-06-03 09:35:54,284860.507,-184350.0,100510.50699999998,2
2020-06-03 09:35:57,284860.507,-184370.0,100490.50699999998,2
2020-06-03 09:36:00,284860.507,-184360.0,100500.50699999998,2
2020-06-03 09:36:03,284860.507,-184330.0,100530.50699999998,2
2020-06-03 09:36:06,284860.507,-184310.0,100550.50699999998,2
2020-06-03 09:36:09,284860.507,-184350.0,100510.50699999998,2
2020-06-03 09:36:12,284860.507,-184290.0,100570.50699999998,2
2020-06-03 09:36:15,284860.507,-184400.0,100460.50699999998,2
2020-06-03 09:36:18,284860.507,-184360.0,100500.50699999998,2
2020-06-03 09:36:21,284860.507,-184430.0,100430.50699999998,2
2020-06-03 09:36:24,284860.507,-184460.0,100400.50699999998,2
2020-06-03 09:36:27,284860.507,-184720.0,100140.50699999998,2
2020-06-03 09:36:30,284860.507,-184660.0,100200.50699999998,2
2020-06-03 09:36:33,284860.507,-184450.0,100410.50699999998,2
2020-06-03 09:36:36,284860.507,-184910.0,99950.50699999998,2
2020-06-03 09:36:39,284860.507,-184880.0,99980.50699999998,2
2020-06-03 09:36:42,284860.507,-184860.0,100000.50699999998,2
2020-06-03 09:36:45,284860.507,-184840.0,100020.50699999998,2
2020-06-03 09:36:48,284860.507,-184880.0,99980.50699999998,2
2020-06-03 09:36:51,284860.507,-184860.0,100000.50699999998,2
2020-06-03 09:36:54,284860.507,-184860.0,100000.50699999998,2
2020-06-03 09:36:57,284860.507,-184670.0,100190.50699999998,2
2020-06-03 09:37:00,284860.507,-184550.0,100310.50699999998,2
2020-06-03 09:37:03,284860.507,-184510.0,100350.50699999998,2
2020-06-03 09:37:06,284860.507,-184610.0,100250.50699999998,2
2020-06-03 09:37:09,284860.507,-184820.0,100040.50699999998,2
2020-06-03 09:37:12,284860.507,-184650.0,100210.50699999998,2
2020-06-03 09:37:15,284860.507,-184680.0,100180.50699999998,2
2020-06-03 09:37:18,284860.507,-184780.0,100080.50699999998,2
2020-06-03 09:37:21,284860.507,-184790.0,100070.50699999998,2
2020-06-03 09:37:24,284860.507,-184770.0,100090.50699999998,2
2020-06-03 09:37:27,284860.507,-184780.0,100080.50699999998,2
2020-06-03 09:37:30,284860.507,-184780.0,100080.50699999998,2
2020-06-03 09:37:33,284860.507,-184770.0,100090.50699999998,2
2020-06-03 09:37:36,284860.507,-184740.0,100120.50699999998,2
2020-06-03 09:37:39,284860.507,-184690.0,100170.50699999998,2
2020-06-03 09:37:42,284860.507,-184750.0,100110.50699999998,2
2020-06-03 09:37:45,284860.507,-184750.0,100110.50699999998,2
2020-06-03 09:37:48,284860.507,-184590.0,100270.50699999998,2
2020-06-03 09:37:51,284860.507,-184610.0,100250.50699999998,2
2020-06-03 09:37:54,284860.507,-184610.0,100250.50699999998,2
2020-06-03 09:37:57,284860.507,-184610.0,100250.50699999998,2
2020-06-03 09:38:00,284860.507,-184680.0,100180.50699999998,2
2020-06-03 09:38:03,284860.507,-184560.0,100300.50699999998,2
2020-06-03 09:38:06,284860.507,-184660.0,100200.50699999998,2
2020-06-03 09:38:09,284860.507,-184660.0,100200.50699999998,2
2020-06-03 09:38:12,284860.507,-184640.0,100220.50699999998,2
2020-06-03 09:38:15,284860.507,-184750.0,100110.50699999998,2
2020-06-03 09:38:18,284860.507,-184740.0,100120.50699999998,2
2020-06-03 09:38:21,284860.507,-184750.0,100110.50699999998,2
2020-06-03 09:38:24,284860.507,-184760.0,100100.50699999998,2
2020-06-03 09:38:27,284860.507,-184710.0,100150.50699999998,2
2020-06-03 09:38:30,284860.507,-184720.0,100140.50699999998,2
2020-06-03 09:38:33,284860.507,-184920.0,99940.50699999998,2
2020-06-03 09:38:36,284860.507,-184980.0,99880.50699999998,2
2020-06-03 09:38:39,284860.507,-184990.0,99870.50699999998,2
2020-06-03 09:38:42,284860.507,-184980.0,99880.50699999998,2
2020-06-03 09:38:45,284860.507,-184980.0,99880.50699999998,2
2020-06-03 09:38:48,284860.507,-184970.0,99890.50699999998,2
2020-06-03 09:38:51,284860.507,-185090.0,99770.50699999998,2
2020-06-03 09:38:54,284860.507,-185090.0,99770.50699999998,2
2020-06-03 09:38:57,284860.507,-185100.0,99760.50699999998,2
2020-06-03 09:39:00,284860.507,-185100.0,99760.50699999998,2
2020-06-03 09:39:03,284860.507,-185160.0,99700.50699999998,2
2020-06-03 09:39:06,284860.507,-185180.0,99680.50699999998,2
2020-06-03 09:39:09,284860.507,-185180.0,99680.50699999998,2
2020-06-03 09:39:12,284860.507,-185220.0,99640.50699999998,2
2020-06-03 09:39:15,284860.507,-185350.0,99510.50699999998,2
